,PassengerId,Survived
0,892,429
1,893,338
2,894,15
3,895,146
4,896,56
5,897,22
6,898,455
7,899,580
8,900,697
9,901,427
10,902,107
11,903,187
12,904,290
13,905,11
14,906,523
15,907,316
16,908,21
17,909,391
18,910,2
19,911,338
20,912,513
21,913,22
22,914,298
23,915,97
24,916,88
25,917,458
26,918,97
27,919,127
28,920,209
29,921,301
30,922,259
31,923,580
32,924,279
33,925,98
34,926,309
35,927,204
36,928,28
37,929,106
38,930,127
39,931,509
40,932,161
41,933,432
42,934,338
43,935,190
44,936,457
45,937,127
46,938,187
47,939,107
48,940,275
49,941,85
50,942,97
51,943,255
52,944,330
53,945,88
54,946,17
55,947,9
56,948,429
57,949,127
58,950,207
59,951,88
60,952,68
61,953,17
62,954,204
63,955,141
64,956,88
65,957,98
66,958,28
67,959,55
68,960,543
69,961,88
70,962,141
71,963,391
72,964,107
73,965,430
74,966,716
75,967,716
76,968,107
77,969,11
78,970,79
79,971,141
80,972,65
81,973,380
82,974,460
83,975,107
84,976,17
85,977,255
86,978,2
87,979,68
88,980,19
89,981,184
90,982,142
91,983,107
92,984,370
93,985,107
94,986,316
95,987,127
96,988,275
97,989,107
98,990,44
99,991,429
100,992,166
101,993,53
102,994,107
103,995,146
104,996,156
105,997,301
106,998,391
107,999,107
108,1000,81
109,1001,226
110,1002,161
111,1003,32
112,1004,25
113,1005,44
114,1006,380
115,1007,241
116,1008,36
117,1009,10
118,1010,1
119,1011,53
120,1012,446
121,1013,107
122,1014,3
123,1015,107
124,1016,107
125,1017,241
126,1018,391
127,1019,109
128,1020,288
129,1021,127
130,1022,569
131,1023,259
132,1024,506
133,1025,36
134,1026,338
135,1027,127
136,1028,36
137,1029,399
138,1030,141
139,1031,457
140,1032,43
141,1033,31
142,1034,88
143,1035,133
144,1036,432
145,1037,328
146,1038,457
147,1039,391
148,1040,432
149,1041,53
150,1042,290
151,1043,36
152,1044,15
153,1045,327
154,1046,9
155,1047,127
156,1048,700
157,1049,141
158,1050,432
159,1051,247
160,1052,32
161,1053,65
162,1054,345
163,1055,107
164,1056,288
165,1057,301
166,1058,457
167,1059,596
168,1060,194
169,1061,106
170,1062,107
171,1063,36
172,1064,142
173,1065,36
174,1066,25
175,1067,549
176,1068,596
177,1069,513
178,1070,55
179,1071,275
180,1072,79
181,1073,61
182,1074,329
183,1075,107
184,1076,88
185,1077,161
186,1078,437
187,1079,204
188,1080,151
189,1081,288
190,1082,447
191,1083,432
192,1084,125
193,1085,15
194,1086,233
195,1087,429
196,1088,305
197,1089,68
198,1090,56
199,1091,19
200,1092,241
201,1093,348
202,1094,380
203,1095,58
204,1096,267
205,1097,432
206,1098,19
207,1099,127
208,1100,447
209,1101,127
210,1102,98
211,1103,107
212,1104,369
213,1105,11
214,1106,387
215,1107,55
216,1108,28
217,1109,195
218,1110,380
219,1111,107
220,1112,79
221,1113,391
222,1114,56
223,1115,391
224,1116,259
225,1117,85
226,1118,127
227,1119,32
228,1120,161
229,1121,21
230,1122,151
231,1123,136
232,1124,391
233,1125,107
234,1126,1
235,1127,283
236,1128,275
237,1129,391
238,1130,84
239,1131,453
240,1132,11
241,1133,187
242,1134,319
243,1135,107
244,1136,184
245,1137,457
246,1138,437
247,1139,209
248,1140,53
249,1141,85
250,1142,78
251,1143,283
252,1144,269
253,1145,127
254,1146,429
255,1147,107
256,1148,107
257,1149,107
258,1150,303
259,1151,391
260,1152,85
261,1153,391
262,1154,301
263,1155,172
264,1156,322
265,1157,107
266,1158,338
267,1159,107
268,1160,28
269,1161,204
270,1162,52
271,1163,107
272,1164,269
273,1165,241
274,1166,36
275,1167,136
276,1168,81
277,1169,432
278,1170,301
279,1171,56
280,1172,141
281,1173,348
282,1174,32
283,1175,65
284,1176,469
285,1177,400
286,1178,107
287,1179,290
288,1180,36
289,1181,107
290,1182,55
291,1183,455
292,1184,36
293,1185,496
294,1186,387
295,1187,146
296,1188,43
297,1189,301
298,1190,383
299,1191,107
300,1192,569
301,1193,17
302,1194,272
303,1195,127
304,1196,32
305,1197,11
306,1198,318
307,1199,172
308,1200,453
309,1201,288
310,1202,204
311,1203,391
312,1204,107
313,1205,367
314,1206,195
315,1207,32
316,1208,31
317,1209,226
318,1210,146
319,1211,323
320,1212,146
321,1213,127
322,1214,345
323,1215,447
324,1216,716
325,1217,127
326,1218,549
327,1219,52
328,1220,53
329,1221,56
330,1222,55
331,1223,209
332,1224,36
333,1225,241
334,1226,146
335,1227,53
336,1228,17
337,1229,338
338,1230,580
339,1231,751
340,1232,84
341,1233,569
342,1234,369
343,1235,258
344,1236,65
345,1237,68
346,1238,399
347,1239,19
348,1240,247
349,1241,328
350,1242,523
351,1243,267
352,1244,369
353,1245,513
354,1246,469
355,1247,460
356,1248,513
357,1249,107
358,1250,107
359,1251,255
360,1252,151
361,1253,23
362,1254,328
363,1255,146
364,1256,356
365,1257,1
366,1258,255
367,1259,596
368,1260,166
369,1261,443
370,1262,56
371,1263,269
372,1264,338
373,1265,288
374,1266,496
